T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,target,Cluster
-70,-61,-66,-53,-51,-63,-82,-57,-76,-78,-66,-66,-61,-59,-73,-75,-63,-77,B37,0
-77,-74,-71,-76,-65,-63,-66,-52,-55,-75,-72,-75,-74,-61,-64,-63,-53,-63,B61,1
-53,-38,-55,-66,-62,-62,-65,-70,-62,-52,-56,-53,-66,-68,-72,-60,-68,-77,A19,2
-72,-62,-59,-65,-65,-65,-78,-82,-83,-59,-84,-60,-64,-83,-69,-72,-95,-73,A22,3
-67,-69,-65,-63,-59,-53,-70,-72,-71,-60,-61,-57,-54,-76,-61,-66,-71,-80,A33,4
-63,-68,-63,-66,-68,-54,-60,-53,-50,-56,-68,-72,-59,-57,-58,-52,-48,-52,A75,5
-68,-69,-65,-70,-56,-51,-63,-69,-71,-66,-65,-62,-54,-56,-54,-68,-61,-65,A41,6
-61,-65,-53,-59,-66,-68,-75,-70,-66,-53,-64,-64,-70,-69,-79,-78,-78,-75,B14,7
-82,-73,-68,-79,-69,-69,-62,-49,-56,-83,-73,-79,-68,-64,-67,-58,-57,-55,B80,8
-65,-74,-63,-54,-60,-55,-70,-82,-72,-59,-64,-54,-61,-66,-61,-71,-72,-79,A33,9
-74,-63,-69,-63,-65,-56,-56,-47,-53,-62,-65,-66,-59,-58,-58,-75,-57,-50,B64,10
-56,-65,-67,-75,-68,-65,-73,-77,-75,-56,-55,-56,-67,-72,-65,-67,-75,-72,A1,11
-71,-67,-63,-69,-79,-76,-87,-81,-83,-84,-71,-64,-71,-69,-76,-83,-82,-83,B21,12
-81,-83,-73,-70,-73,-86,-70,-66,-39,-81,-81,-81,-71,-80,-65,-58,-54,-58,A70,13
-68,-65,-68,-67,-62,-72,-67,-59,-58,-78,-70,-70,-68,-66,-70,-57,-60,-57,B57,14
-65,-56,-76,-72,-84,-70,-82,-77,-84,-68,-66,-81,-72,-83,-77,-74,-71,-76,B9,15
-67,-80,-71,-63,-62,-63,-61,-72,-59,-95,-85,-74,-69,-63,-43,-57,-73,-67,B50,16
-64,-56,-58,-48,-56,-55,-58,-60,-56,-66,-65,-59,-47,-57,-72,-61,-74,-71,B31,17
-68,-61,-51,-68,-68,-61,-70,-80,-74,-53,-50,-57,-70,-76,-63,-70,-76,-73,A21,18
-71,-56,-49,-56,-56,-74,-61,-71,-75,-64,-70,-69,-59,-58,-64,-68,-65,-66,B30,19
-70,-61,-66,-53,-50,-63,-79,-57,-76,-78,-66,-66,-61,-59,-73,-75,-64,-78,B37,0
-70,-61,-66,-53,-51,-63,-78,-57,-76,-78,-66,-66,-61,-59,-74,-76,-64,-78,B37,0
-59,-66,-63,-66,-65,-63,-79,-79,-67,-55,-56,-58,-67,-72,-71,-76,-71,-76,A4,20
-67,-82,-71,-62,-62,-63,-62,-75,-61,-95,-84,-74,-68,-65,-43,-57,-74,-67,B50,16
-64,-62,-56,-56,-51,-64,-54,-57,-65,-68,-63,-66,-55,-47,-63,-62,-60,-64,B40,21
-49,-48,-60,-63,-69,-82,-81,-76,-76,-57,-64,-69,-64,-75,-70,-80,-74,-76,B6,22
-79,-62,-63,-67,-63,-54,-59,-46,-54,-58,-67,-66,-65,-57,-64,-52,-66,-57,A64,23
-67,-69,-65,-63,-59,-53,-70,-72,-71,-60,-61,-57,-54,-75,-61,-66,-71,-80,A33,4
-62,-62,-57,-56,-50,-65,-54,-58,-64,-70,-62,-67,-55,-47,-62,-63,-59,-63,B40,21
-79,-62,-61,-68,-77,-58,-74,-76,-84,-54,-54,-60,-56,-75,-75,-65,-74,-77,A25,24
-59,-53,-62,-66,-78,-73,-74,-77,-83,-62,-56,-64,-70,-78,-76,-79,-95,-80,B18,25
-77,-81,-73,-69,-68,-68,-68,-65,-59,-76,-75,-74,-84,-64,-62,-55,-66,-63,A66,26
-65,-74,-63,-55,-60,-55,-70,-82,-72,-59,-64,-54,-61,-66,-61,-71,-72,-79,A33,9
-68,-67,-64,-69,-65,-53,-59,-73,-68,-81,-64,-64,-58,-58,-50,-57,-65,-60,A53,27
-72,-70,-68,-73,-61,-72,-58,-55,-54,-95,-75,-80,-74,-54,-63,-61,-77,-58,B73,28
-63,-68,-63,-66,-69,-54,-59,-53,-53,-56,-70,-69,-58,-55,-57,-51,-49,-52,A75,5
-74,-86,-72,-67,-75,-63,-64,-73,-76,-73,-78,-69,-78,-61,-55,-60,-58,-67,A50,29
-66,-50,-56,-55,-53,-66,-67,-63,-74,-69,-65,-58,-59,-60,-63,-64,-78,-62,B25,-1
-69,-71,-72,-66,-66,-74,-74,-67,-52,-78,-71,-74,-73,-62,-66,-59,-70,-62,B73,30
-69,-58,-60,-56,-63,-56,-68,-76,-83,-56,-52,-62,-73,-70,-61,-69,-65,-67,A29,-1
-56,-65,-67,-77,-68,-64,-73,-77,-75,-56,-54,-56,-67,-72,-65,-67,-74,-72,A1,11
-78,-75,-70,-75,-65,-64,-67,-52,-55,-74,-72,-75,-74,-61,-64,-63,-54,-63,B61,1
-65,-58,-55,-43,-56,-61,-66,-76,-70,-68,-52,-53,-51,-68,-62,-60,-83,-67,A35,31
-50,-66,-78,-65,-68,-68,-77,-77,-71,-50,-55,-58,-74,-69,-73,-65,-86,-76,A3,32
-65,-60,-65,-55,-57,-53,-76,-67,-83,-54,-69,-61,-53,-62,-64,-63,-66,-74,A33,33
-62,-69,-62,-61,-63,-61,-67,-67,-83,-70,-69,-62,-68,-61,-52,-57,-56,-82,A46,34
-65,-65,-77,-69,-58,-57,-53,-55,-66,-68,-72,-68,-63,-58,-52,-58,-64,-71,B45,35
-63,-72,-59,-55,-63,-53,-78,-68,-64,-57,-70,-56,-57,-73,-61,-67,-65,-62,A36,36
-63,-70,-64,-70,-78,-68,-95,-81,-75,-63,-68,-70,-81,-95,-74,-86,-84,-95,B5,37
-80,-78,-66,-69,-72,-81,-65,-63,-63,-81,-74,-81,-71,-64,-69,-64,-63,-46,A79,38
-61,-58,-60,-50,-70,-54,-63,-75,-62,-50,-61,-51,-57,-63,-72,-67,-67,-74,A32,39
-63,-70,-64,-70,-78,-68,-95,-81,-74,-64,-68,-70,-81,-95,-75,-86,-80,-95,B5,37
-95,-52,-65,-95,-95,-68,-64,-95,-95,-95,-95,-95,-57,-95,-95,-66,-95,-95,B23,40
-46,-61,-66,-71,-74,-70,-77,-82,-77,-57,-61,-61,-65,-69,-71,-70,-77,-73,A7,41
-67,-69,-64,-64,-59,-53,-71,-72,-71,-60,-61,-58,-54,-73,-60,-66,-72,-79,A33,4
-72,-79,-95,-71,-82,-73,-61,-55,-62,-71,-70,-78,-67,-76,-65,-60,-56,-63,A62,42
-65,-73,-63,-68,-67,-56,-65,-69,-73,-83,-65,-63,-55,-58,-50,-52,-62,-61,A53,43
-56,-57,-68,-73,-70,-68,-81,-78,-76,-60,-58,-64,-83,-82,-68,-72,-78,-69,A1,227
-64,-69,-64,-67,-66,-53,-61,-51,-45,-77,-63,-63,-67,-61,-58,-53,-48,-51,A71,44
-76,-72,-75,-68,-77,-63,-64,-69,-64,-63,-64,-63,-62,-56,-50,-54,-61,-58,A58,45
-53,-64,-73,-64,-73,-65,-70,-95,-78,-52,-59,-61,-73,-73,-74,-84,-72,-80,A9,46
-95,-95,-65,-54,-59,-57,-68,-79,-74,-58,-65,-53,-95,-65,-61,-70,-71,-95,A33,-1
